# phiref ra dec tc mc q costheta_jn psi logdistance spin1 spin2 logL
1.817396358109498955e+00 1.662942127304476159e-01 -5.359232942414227097e-01 1.186302519750363350e+09 3.120679074858324498e+01 6.433503465765807450e-01 -8.485011605052653616e-01 1.435494106835461636e+00 6.960749882508945774e+00 9.213246430415700239e-02 5.673133822280249650e-01 -1.495465999999999985e+04
3.928251108445416584e+00 1.289701973048605066e-01 -4.879699471742184880e-01 1.186302519752400637e+09 3.304970358522582075e+01 5.739159268993813123e-01 -9.572082974402584821e-01 2.327043504741657109e-01 7.293608074216777482e+00 3.077173156030628687e-01 7.126128773943487538e-01 -1.495463999999999942e+04
5.922431555579550810e+00 3.699972807291380117e-01 -3.580352404862877091e-01 1.186302519752397299e+09 2.884832810790126700e+01 3.831828534441592549e-01 4.339025994837357736e-01 2.605945365488763876e+00 6.641380361683214772e+00 1.014786961117642577e-01 4.874666210204747219e-01 -1.495462000000000080e+04
5.241527312507241021e+00 3.411154495034053880e-01 -1.453455884986986357e-01 1.186302519755815744e+09 3.002403431343997298e+01 5.726240076305293414e-01 -9.410272166406765670e-01 1.846732963080228496e+00 7.387637608719365367e+00 1.750978858426115170e-02 4.032267247357545492e-01 -1.495460000000000036e+04
4.306919659789699928e+00 2.153774379763940816e-01 -5.095940959796019243e-01 1.186302519751373529e+09 3.281577002107439256e+01 7.602713859382137507e-01 -8.344617107769743969e-01 7.127721753233371427e-01 7.255212172344325694e+00 1.693738369434641122e-01 4.721052221762286893e-01 -1.495460000000000036e+04
5.428076610906060750e-01 4.008069990559375295e-01 -3.102397477973586892e-01 1.186302519750776291e+09 3.466362468593898427e+01 5.006702313395461346e-01 -9.009980069539166303e-01 7.003432653444705558e-01 7.287810504685347190e+00 5.734445349681073223e-01 1.407993474591838212e-01 -1.495456999999999971e+04
4.749211312995987866e-01 4.201582345409654584e-01 -3.395614024362120786e-01 1.186302519750822783e+09 3.220461535797850416e+01 5.051832874500818971e-01 9.780583284248001164e-01 1.727450389083159621e+00 7.194334218618083199e+00 3.746364396948135278e-01 9.211950979278828167e-02 -1.495454999999999927e+04
4.269547964794802475e+00 2.057856954422895013e-01 -4.092430401077355451e-01 1.186302519752780914e+09 3.498363154724782476e+01 9.814374481206649126e-01 -7.087982020833965002e-01 1.233925940276055400e+00 7.245588614839990171e+00 2.672805011442908607e-01 4.959358491648642175e-01 -1.495453000000000065e+04
4.289382389162216924e+00 7.594708879078386765e-01 -5.852031505505395081e-02 1.186302519752075195e+09 3.123495817766233529e+01 6.166746075808151595e-01 9.803114289454508690e-01 1.753036946396373752e+00 7.030413794027049690e+00 1.225155158269106564e-01 4.010561509072190223e-01 -1.495445999999999913e+04
2.264791109304809424e+00 3.884173301974124803e-01 -3.414566004683255995e-01 1.186302519752926826e+09 3.207337726740779971e+01 8.686538746622880502e-01 -9.967227989436564517e-01 2.096825853732549039e+00 7.247367243608126230e+00 2.250569399018256811e-01 1.229875115678077252e-01 -1.495443000000000029e+04
